Index,Post_Date,Year,Month,City,Post_Type,Post_Details,Likes,Shares,Comments,Post_Link,Page
151,45484.00,2024,7,Dubai,Entertainment,Concert announced in Dubai.,6127,2684,1752,https://example.com/post/151,ArabsNews
152,45504.00,2024,7,Beirut,Entertainment,Celebrity spotted in Beirut.,1442,2507,1149,https://example.com/post/152,ArabsNews
153,45580.00,2024,10,Riyadh,Health,Health awareness campaign in Riyadh.,466,2166,4956,https://example.com/post/153,ArabsNews
154,45808.00,2025,5,Dubai,Educational,Scholarship applications open for Dubai students.,9566,1570,449,https://example.com/post/154,ArabsNews
155,45815.00,2025,6,Jeddah,Tech,AI tech breakthrough reported.,2265,765,1639,https://example.com/post/155,ArabsNews
156,45491.00,2024,7,Dubai,Health,Vaccination drive starts in Dubai.,8884,1804,4191,https://example.com/post/156,ArabsNews
157,45537.00,2024,9,Baghdad,Weather Alert,High temperatures expected in Baghdad.,3590,211,1015,https://example.com/post/157,ArabsNews
158,45607.00,2024,11,Beirut,Health,New hospital opens in Beirut.,6540,618,2886,https://example.com/post/158,ArabsNews
159,45424.00,2024,5,Dubai,Health,Vaccination drive starts in Dubai.,5365,168,700,https://example.com/post/159,ArabsNews
160,45450.00,2024,6,Beirut,Football,Match result: Jeddah vs Dubai ended in a draw.,2669,1021,709,https://example.com/post/160,ArabsNews
161,45712.00,2025,2,Baghdad,Entertainment,Concert announced in Baghdad.,3240,275,634,https://example.com/post/161,ArabsNews
162,45334.00,2024,2,Dubai,Tech,Top 5 gadgets of 2025.,9220,1182,1359,https://example.com/post/162,ArabsNews
163,45670.00,2025,1,Riyadh,Religious,Charity campaign launched in Riyadh.,6314,1820,691,https://example.com/post/163,ArabsNews
164,45452.00,2024,6,Jeddah,Health,Vaccination drive starts in Jeddah.,2563,2382,4063,https://example.com/post/164,ArabsNews
165,45625.00,2024,11,Riyadh,Health,Vaccination drive starts in Riyadh.,2301,2643,893,https://example.com/post/165,ArabsNews
166,45501.00,2024,7,Amman,Football,Top 5 goals of the week in Amman league.,2045,1706,1451,https://example.com/post/166,ArabsNews
167,45377.00,2024,3,Doha,Educational,Workshop on AI held in Doha.,9854,713,297,https://example.com/post/167,ArabsNews
168,45720.00,2025,3,Dubai,Football,Top 5 goals of the week in Dubai league.,9321,796,1055,https://example.com/post/168,ArabsNews
169,45649.00,2024,12,Dubai,Tech,Launch event for Baghdad held in Jeddah.,3666,1333,3998,https://example.com/post/169,ArabsNews
170,45533.00,2024,8,Beirut,Football,Match result: Jeddah vs Riyadh ended in a win.,5095,2840,476,https://example.com/post/170,ArabsNews
171,45412.00,2024,4,Jeddah,Entertainment,Concert announced in Jeddah.,3970,903,4467,https://example.com/post/171,ArabsNews
172,45440.00,2024,5,Jeddah,Health,Health awareness campaign in Jeddah.,8374,2759,3856,https://example.com/post/172,ArabsNews
173,45648.00,2024,12,Beirut,Religious,Event: Eid celebrations in Beirut.,3292,2918,3042,https://example.com/post/173,ArabsNews
174,45714.00,2025,2,Beirut,Educational,Results declared for Beirut exams.,5568,195,2746,https://example.com/post/174,ArabsNews
175,45305.00,2024,1,Doha,Health,Health awareness campaign in Doha.,958,512,4285,https://example.com/post/175,ArabsNews
176,45759.00,2025,4,Jeddah,Tech,Launch event for Alexandria held in Beirut.,6513,2430,2402,https://example.com/post/176,ArabsNews
177,45749.00,2025,4,Cairo,Health,Vaccination drive starts in Cairo.,3260,1985,2122,https://example.com/post/177,ArabsNews
178,45619.00,2024,11,Beirut,Football,Match result: Alexandria vs Dubai ended in a draw.,8576,640,1545,https://example.com/post/178,ArabsNews
179,45606.00,2024,11,Baghdad,Religious,Event: Eid celebrations in Baghdad.,8416,2124,2077,https://example.com/post/179,ArabsNews
180,45731.00,2025,3,Alexandria,Educational,Results declared for Alexandria exams.,8639,1585,3538,https://example.com/post/180,ArabsNews
181,45768.00,2025,4,Beirut,Religious,Event: Eid celebrations in Beirut.,2478,144,3305,https://example.com/post/181,ArabsNews
182,45767.00,2025,4,Amman,Weather Alert,Rainfall forecast updated.,1597,2888,1296,https://example.com/post/182,ArabsNews
183,45311.00,2024,1,Riyadh,Tech,Top 5 gadgets of 2025.,8886,1542,1453,https://example.com/post/183,ArabsNews
184,45770.00,2025,4,Riyadh,Health,Health awareness campaign in Riyadh.,289,675,610,https://example.com/post/184,ArabsNews
185,45808.00,2025,5,Cairo,Educational,Workshop on AI held in Cairo.,2512,2805,1875,https://example.com/post/185,ArabsNews
186,45304.00,2024,1,Alexandria,Health,New hospital opens in Alexandria.,5542,2641,4085,https://example.com/post/186,ArabsNews
187,45662.00,2025,1,Riyadh,Tech,Launch event for Cairo held in Cairo.,2201,1033,41,https://example.com/post/187,ArabsNews
188,45387.00,2024,4,Amman,Local News,Water supply disruption in Amman.,820,1142,2230,https://example.com/post/188,ArabsNews
189,45383.00,2024,4,Alexandria,Football,Fan reactions after Alexandria win.,9404,2575,2188,https://example.com/post/189,ArabsNews
190,45816.00,2025,6,Alexandria,Educational,Results declared for Alexandria exams.,5846,2653,1346,https://example.com/post/190,ArabsNews
191,45295.00,2024,1,Alexandria,Football,Fan reactions after Alexandria win.,256,52,3974,https://example.com/post/191,ArabsNews
192,45431.00,2024,5,Cairo,Political,Government decision sparks debate in Cairo.,4361,660,2432,https://example.com/post/192,ArabsNews
193,45532.00,2024,8,Baghdad,Local News,Water supply disruption in Baghdad.,1398,1660,1926,https://example.com/post/193,ArabsNews
194,45720.00,2025,3,Cairo,Football,Fan reactions after Cairo win.,8327,183,3275,https://example.com/post/194,ArabsNews
195,45664.00,2025,1,Jeddah,Religious,Charity campaign launched in Jeddah.,6409,2000,1332,https://example.com/post/195,ArabsNews
196,45380.00,2024,3,Baghdad,Entertainment,Concert announced in Baghdad.,1420,349,2379,https://example.com/post/196,ArabsNews
197,45541.00,2024,9,Doha,Entertainment,Celebrity spotted in Doha.,7159,1822,2394,https://example.com/post/197,ArabsNews
198,45573.00,2024,10,Riyadh,Tech,AI tech breakthrough reported.,5092,2622,362,https://example.com/post/198,ArabsNews
199,45299.00,2024,1,Beirut,Local News,Market fire reported in Beirut.,9175,570,4488,https://example.com/post/199,ArabsNews
200,45564.00,2024,9,Beirut,Religious,Charity campaign launched in Beirut.,7873,778,2189,https://example.com/post/200,ArabsNews
201,45790.00,2025,5,Amman,Educational,Workshop on AI held in Amman.,3780,1888,4017,https://example.com/post/201,ArabsNews
202,45313.00,2024,1,Cairo,Weather Alert,Storm warning issued in Cairo.,8038,950,4849,https://example.com/post/202,ArabsNews
203,45438.00,2024,5,Alexandria,Entertainment,Celebrity spotted in Alexandria.,2017,1483,1737,https://example.com/post/203,ArabsNews
204,45482.00,2024,7,Alexandria,Football,Match result: Alexandria vs Doha ended in a draw.,981,194,375,https://example.com/post/204,ArabsNews
205,45428.00,2024,5,Beirut,Football,Fan reactions after Beirut win.,2309,652,3309,https://example.com/post/205,ArabsNews
206,45552.00,2024,9,Doha,Religious,Charity campaign launched in Doha.,711,1977,2509,https://example.com/post/206,ArabsNews
207,45449.00,2024,6,Alexandria,Health,Vaccination drive starts in Alexandria.,9189,124,4488,https://example.com/post/207,ArabsNews
208,45432.00,2024,5,Baghdad,Football,Top 5 goals of the week in Baghdad league.,7445,1292,3863,https://example.com/post/208,ArabsNews
209,45700.00,2025,2,Baghdad,Entertainment,Concert announced in Baghdad.,2355,1085,3463,https://example.com/post/209,ArabsNews
210,45464.00,2024,6,Jeddah,Tech,Top 5 gadgets of 2025.,5414,1933,703,https://example.com/post/210,ArabsNews
211,45643.00,2024,12,Baghdad,Tech,Launch event for Jeddah held in Beirut.,3693,242,1226,https://example.com/post/211,ArabsNews
212,45343.00,2024,2,Beirut,Religious,Charity campaign launched in Beirut.,313,263,,https://example.com/post/212,ArabsNews
213,45309.00,2024,1,Baghdad,Weather Alert,High temperatures expected in Baghdad.,7413,306,2659,https://example.com/post/213,ArabsNews
214,45599.00,2024,11,Dubai,Entertainment,Concert announced in Dubai.,4927,961,4610,https://example.com/post/214,ArabsNews
215,45554.00,2024,9,Cairo,Political,New policy reform announced in Cairo.,9254,336,3081,https://example.com/post/215,ArabsNews
216,45627.00,2024,12,Cairo,Entertainment,Movie trailer released: 'Cairo'.,3313,1851,3907,https://example.com/post/216,ArabsNews
217,45681.00,2025,1,Doha,Football,Top 5 goals of the week in Doha league.,9373,1231,2851,https://example.com/post/217,ArabsNews
218,45660.00,2025,1,Baghdad,Weather Alert,Rainfall forecast updated.,5710,680,1342,https://example.com/post/218,ArabsNews
219,45714.00,2025,2,Doha,Educational,Results declared for Doha exams.,7262,1233,4513,https://example.com/post/219,ArabsNews
220,45773.00,2025,4,Riyadh,Entertainment,Movie trailer released: 'Riyadh'.,7179,474,848,https://example.com/post/220,ArabsNews
221,45472.00,2024,6,Cairo,Health,New hospital opens in Cairo.,2728,983,1472,https://example.com/post/221,ArabsNews
222,45307.00,2024,1,Baghdad,Entertainment,Movie trailer released: 'Baghdad'.,1748,678,3825,https://example.com/post/222,ArabsNews
223,45518.00,2024,8,Amman,Educational,Results declared for Amman exams.,926,2592,1347,https://example.com/post/223,ArabsNews
224,45682.00,2025,1,Alexandria,Entertainment,Celebrity spotted in Alexandria.,2729,1763,2157,https://example.com/post/224,ArabsNews
